Full Total,$77.47 USD

Parts for the Keyboard Part of it
Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
PCB,My PCB,x5,$23.08,$3.08,https://jlcpcb.com,$3.08
Case,3D Printed,1,Free,Free,N/A,$0
XIAO-nRF52840,MCU,1,$11.63,$19.62,https://ca.robotshop.com/fr/products/seeedstudioxiaonrf52840-fr,$19.62
Buttons + LEDs + Screw Terminal,LCSC Parts for the PCB,15,$20,$20,https://lcsc.com,$20
Total with shipping + tax (USD),$42.7

Parts for the space mouse part of it
Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
Adafruit QT Py RP2040,MCU,1,$9.95,$9.95,https://www.adafruit.com/product/4900,N/A
STEMMA QT / Qwiic JST SH 4-pin Cable - 50mm Long,JST Cable,1,$0.95,$0.95,https://www.adafruit.com/product/4210,N/A
Adafruit TLV493D,The main chip for the mouse- the magnetometer,1,$5.95,$5.95,https://www.adafruit.com/product/4366,N/A
Magnets,For the magnetometer,1,Free,Free,N/A,N/A
Total with shipping + tax (USD),$34.77
